Date,Last Price,short_window,long_window,signal,time_in_trade,time_before_trade,best_pnl,best_exit,best_entry,Profit,time_in_best_trade,PNL,best_exit_PNL,best_entry_PNL
2022-05-05 17:00:00,1.0544,1.0544,,,,,,,,,,,,
2022-05-05 17:30:00,1.0542,1.0542,,0.0,,,,,,,,,,
2022-05-05 18:00:00,1.0542,1.0542,,0.0,,,,,,,,,,
2022-05-05 18:30:00,1.055,1.055,,0.0,,,,,,,,,,
2022-05-05 19:00:00,1.0539,1.0539,,0.0,,,,,,,,,,
2022-05-05 19:30:00,1.054,1.054,1.0542833333333335,0.0,,,,,,,,,,
2022-05-05 20:00:00,1.0543,1.0543,1.0542666666666667,1.0,,,,,,,,,,
2022-05-05 20:30:00,1.0541,1.0541,1.05425,-1.0,0 days 02:30:00,0 days 00:30:00,0.0015000000000000568,2022-05-05 21:30:00,2022-05-05 21:00:00,0.0005999999999999339,0 days 00:30:00,-0.00019999999999997797,,
2022-05-05 20:30:00,1.0541,1.0541,1.05425,-1.0,0 days 02:30:00,0 days 00:30:00,0.0015000000000000568,2022-05-05 21:30:00,2022-05-05 21:00:00,0.0005999999999999339,0 days 00:30:00,,,
2022-05-05 21:00:00,1.0532,1.0532,1.0540833333333335,0.0,,,,,,,,0.0009000000000001229,0.0009000000000001229,
2022-05-05 21:30:00,1.0526,1.0526,1.0536833333333335,0.0,,,,,,,,0.0015000000000000568,0.0015000000000000568,0.0005999999999999339
2022-05-05 22:00:00,1.0527,1.0527,1.0534833333333333,0.0,,,,,,,,0.0014000000000000679,,
2022-05-05 22:30:00,1.0529,1.0529,1.0533,0.0,,,,,,,,0.0012000000000000899,,
2022-05-05 23:00:00,1.0535,1.0535,1.0531666666666666,1.0,,,,,,,,0.0005999999999999339,,
2022-05-05 23:00:00,1.0535,1.0535,1.0531666666666666,1.0,,,,,,,,,,
2022-05-05 23:30:00,1.0533,1.0533,1.0530333333333333,0.0,,,,,,,,-0.00020000000000020002,,
2022-05-06 00:00:00,1.0528,1.0528,1.0529666666666666,-1.0,,,,,,,,-0.000700000000000145,,
2022-05-06 00:00:00,1.0528,1.0528,1.0529666666666666,-1.0,,,,,,,,,,
