Date,Last Price
5/11/22 12:30,1.0531
5/11/22 13:00,1.0524
5/11/22 13:30,1.0517
5/11/22 14:00,1.053
5/11/22 14:30,1.0531
5/11/22 15:00,1.0526
5/11/22 15:30,1.0516
5/11/22 16:00,1.0511
5/11/22 16:30,1.0513
5/11/22 17:00,1.0516
5/11/22 17:30,1.0515
5/11/22 18:00,1.0513
5/11/22 18:30,1.0517
5/11/22 19:00,1.0513
5/11/22 19:30,1.0512
5/11/22 20:00,1.0517
5/11/22 20:30,1.0524
5/11/22 21:00,1.0524
5/11/22 21:30,1.0523
5/11/22 22:00,1.0527
5/11/22 22:30,1.0516
5/11/22 23:00,1.0523
5/11/22 23:30,1.0522
5/12/22 0:00,1.0518
5/12/22 0:30,1.0518
5/12/22 1:00,1.0512
5/12/22 1:30,1.0501
5/12/22 2:00,1.0505
5/12/22 2:30,1.0504
5/12/22 3:00,1.0464
5/12/22 3:30,1.046
5/12/22 4:00,1.0453
5/12/22 4:30,1.0441
5/12/22 5:00,1.0433
5/12/22 5:30,1.0427
5/12/22 6:00,1.0441
5/12/22 6:30,1.0437
5/12/22 7:00,1.0422
5/12/22 7:30,1.0399
5/12/22 8:00,1.0419
5/12/22 8:30,1.0416
5/12/22 9:00,1.0416
5/12/22 9:30,1.0398
5/12/22 10:00,1.0402
5/12/22 10:30,1.0412
5/12/22 11:00,1.041
5/12/22 11:30,1.0375
5/12/22 12:00,1.0389
5/12/22 12:30,1.0359
5/12/22 13:00,1.0368
5/12/22 13:30,1.0368
5/12/22 14:00,1.0372
5/12/22 14:30,1.0371
5/12/22 15:00,1.0371
5/12/22 15:30,1.0373
5/12/22 16:00,1.0379
5/12/22 16:30,1.038
5/12/22 17:00,1.0382
5/12/22 17:30,1.0381
5/12/22 18:00,1.0383
5/12/22 18:30,1.0379
5/12/22 19:00,1.0378
5/12/22 19:30,1.0378
5/12/22 20:00,1.038
5/12/22 20:30,1.0381
5/12/22 21:00,1.0381
5/12/22 21:30,1.0378
5/12/22 22:00,1.0387
5/12/22 22:30,1.039
5/12/22 23:00,1.0396
5/12/22 23:30,1.0391
5/13/22 0:00,1.0394
5/13/22 0:30,1.0397
5/13/22 1:00,1.0397
5/13/22 1:30,1.0396
5/13/22 2:00,1.0388
5/13/22 2:30,1.0395
5/13/22 3:00,1.0411
5/13/22 3:30,1.0416
5/13/22 4:00,1.0409
5/13/22 4:30,1.0408
5/13/22 5:00,1.0388
5/13/22 5:30,1.0374
5/13/22 6:00,1.0386
5/13/22 6:30,1.0388
5/13/22 7:00,1.0388
5/13/22 7:30,1.0383
5/13/22 8:00,1.0376
5/13/22 8:30,1.0378
5/13/22 9:00,1.0359
5/13/22 9:30,1.0366
5/13/22 10:00,1.0382
5/13/22 10:30,1.0394
5/13/22 11:00,1.0415
5/13/22 11:30,1.0411
5/13/22 12:00,1.0408
5/13/22 12:30,1.0409
5/13/22 13:00,1.0409
5/13/22 13:30,1.0399
5/13/22 14:00,1.0398
5/13/22 14:30,1.0405
5/13/22 15:00,1.04
5/13/22 15:30,1.0402
5/13/22 16:00,1.0403
5/13/22 16:30,1.0412
5/15/22 14:30,1.0406
5/15/22 15:00,1.0398
5/15/22 15:30,1.0393
5/15/22 16:00,1.0393
5/15/22 16:30,1.0406
5/15/22 17:00,1.0401
5/15/22 17:30,1.04
5/15/22 18:00,1.0409
5/15/22 18:30,1.0405
5/15/22 19:00,1.0403
5/15/22 19:30,1.0399
5/15/22 20:00,1.0403
5/15/22 20:30,1.041
5/15/22 21:00,1.0412
5/15/22 21:30,1.0405
5/15/22 22:00,1.0399
5/15/22 22:30,1.0403
5/15/22 23:00,1.0396
5/15/22 23:30,1.0397
5/16/22 0:00,1.0398
5/16/22 0:30,1.04
5/16/22 1:00,1.0403
5/16/22 1:30,1.0401
5/16/22 2:00,1.0405
5/16/22 2:30,1.0404
5/16/22 3:00,1.0422
5/16/22 3:30,1.0409
5/16/22 4:00,1.0425
5/16/22 4:30,1.0433
5/16/22 5:00,1.0423
5/16/22 5:30,1.0416
5/16/22 6:00,1.0425
5/16/22 6:30,1.0435
5/16/22 7:00,1.0427
5/16/22 7:30,1.0418
5/16/22 8:00,1.0424
5/16/22 8:30,1.0423
5/16/22 9:00,1.0423
5/16/22 9:30,1.0404
5/16/22 10:00,1.0422
5/16/22 10:30,1.0403
5/16/22 11:00,1.0405
5/16/22 11:30,1.042
5/16/22 12:00,1.042
5/16/22 12:30,1.0425
5/16/22 13:00,1.0422
5/16/22 13:30,1.0425
5/16/22 14:00,1.0426
5/16/22 14:30,1.0437
5/16/22 15:00,1.0436
5/16/22 15:30,1.0432
5/16/22 16:00,1.0432
5/16/22 16:30,1.0434
5/16/22 17:00,1.0436
5/16/22 17:30,1.0435
